date,pred_ret,test_label
2018-09-18,0.0549005642533302,0.0
2018-09-28,0.0711059868335723,0.0
2018-10-02,0.0039492323994636,0.0
2018-10-10,0.0167503654956817,0.0
2018-10-16,0.0078695211559534,0.0
2018-10-23,0.0974017232656478,0.0
2018-10-30,0.0763282030820846,1.0
2018-11-06,-0.0313814282417297,0.0
2018-11-13,-0.0011567920446395,0.0
2018-11-20,0.0087848901748657,0.0
2018-11-27,0.0320307686924934,0.0
2018-12-04,0.0018275305628776,0.0
2018-12-11,0.0362780168652534,1.0
2018-12-18,0.0501549504697322,1.0
2018-12-26,0.0160753428936004,1.0
2019-01-03,-0.0050681717693805,1.0
2019-01-08,0.0088235512375831,1.0
2019-01-15,0.0676342695951461,1.0
2019-01-22,-0.0033676251769065,1.0
2019-01-29,0.071670189499855,1.0
2019-02-08,0.0934303402900695,0.0
2019-02-12,-0.0480700135231018,0.0
2019-02-19,0.0526553019881248,0.0
2019-02-26,0.0389295928180217,0.0
2019-03-05,0.0451258905231952,1.0
2019-03-11,0.0649234652519226,1.0
2019-03-18,0.0313148982822895,1.0
2019-03-25,0.0062073022127151,1.0
2019-04-02,0.0030680894851684,1.0
2019-04-09,0.0334398001432418,0.0
2019-04-16,0.01672288402915,0.0
2019-04-23,0.0121509432792663,0.0
2019-04-30,-0.0335783213376998,0.0
2019-05-08,0.0134143307805061,0.0
2019-05-14,0.0080499127507209,1.0
2019-05-21,-0.0274114608764648,1.0
2019-05-28,-0.0685477778315544,1.0
2019-06-04,0.022984642535448,1.0
2019-06-11,0.0220968797802925,0.0
2019-06-18,-0.0015743896365165,0.0
2019-06-25,0.0314708054065704,0.0
2019-07-02,-0.020077520981431,0.0
2019-07-09,0.0497017577290535,0.0
2019-07-16,-0.0057705342769622,0.0
2019-07-23,0.0728164911270141,0.0
2019-07-30,0.0061683729290962,0.0
2019-08-06,0.0500796809792518,1.0
2019-08-13,0.0603675693273544,1.0
2019-08-20,-0.0461897179484367,1.0
2019-08-27,-0.0094994157552719,1.0
2019-09-04,0.0054823160171508,1.0
2019-09-11,-0.0869425535202026,1.0
2019-09-18,0.0210925266146659,0.0
2019-09-25,0.0639528632164001,1.0
2019-10-01,0.0222547352313995,1.0
2019-10-08,-0.0285519883036613,1.0
2019-10-15,0.0730693638324737,1.0
2019-10-22,0.0816163346171379,1.0
2019-10-29,0.0392302572727203,0.0
2019-11-06,0.0237731263041496,0.0
2019-11-13,-0.0013365261256694,1.0
2019-11-20,0.0588778555393219,1.0
2019-11-27,0.0045837461948394,1.0
2019-12-03,0.0040458440780639,1.0
2019-12-10,0.0109936147928237,1.0
2019-12-17,-0.0290192998945713,1.0
2019-12-24,0.0310771763324737,1.0
2020-01-02,0.0622552931308746,0.0
2020-01-08,0.0411799177527427,1.0
2020-01-15,0.019073836505413,1.0
2020-01-22,0.0368959046900272,0.0
2020-01-29,0.0343428552150726,0.0
2020-02-05,-0.0102353766560554,0.0
2020-02-12,-0.0639404952526092,0.0
2020-02-19,-0.0067021697759628,0.0
2020-02-26,-0.0073924213647842,0.0
2020-03-03,0.0172502771019935,0.0
2020-03-10,-0.0404941849410533,0.0
2020-03-17,0.0492305681109428,1.0
2020-03-24,0.0127277560532093,1.0
2020-03-31,0.0159422680735588,1.0
2020-04-08,0.0038654506206512,1.0
2020-04-16,0.0130957961082458,1.0
2020-04-22,0.0418747439980506,1.0
2020-04-29,0.0420579984784126,1.0
2020-05-07,0.0280058793723583,1.0
2020-05-14,0.0321435704827308,1.0
2020-05-21,0.0629897564649581,1.0
2020-05-28,-0.0238061174750328,1.0
2020-06-05,0.0162786655128002,0.0
2020-06-12,-0.0573115944862365,1.0
2020-06-19,0.0228688642382621,1.0
2020-06-26,0.0131706576794385,1.0
2020-07-02,-0.0513560064136981,1.0
2020-07-09,0.0635786429047584,1.0
2020-07-16,0.0374495200812816,1.0
2020-07-23,0.0177958253771066,1.0
2020-07-30,0.0585814714431762,1.0
2020-08-07,0.0190185979008674,1.0
2020-08-14,-0.0103344172239303,1.0
2020-08-21,0.0189476124942302,1.0
2020-08-28,-0.019059095531702,0.0
2020-09-04,-0.0243652462959289,0.0
2020-09-11,0.0491860248148441,1.0
2020-09-18,-0.0064803007990121,0.0
2020-09-25,0.0104255825281143,1.0
2020-10-06,0.0158144235610961,1.0
2020-10-08,0.0105072781443595,1.0
2020-10-15,-0.0192941427230834,1.0
2020-10-22,0.0032990649342536,1.0
2020-10-29,-0.0110513120889663,1.0
2020-11-06,0.001888632774353,1.0
2020-11-13,-0.0062570422887802,1.0
2020-11-20,0.0148629397153854,1.0
2020-11-27,0.1265384703874588,1.0
2020-12-03,0.0097101591527462,1.0
2020-12-10,0.0236173011362552,1.0
2020-12-17,-0.0372058525681495,1.0
2020-12-24,0.015771672129631,1.0
2021-01-04,0.0290035977959632,1.0
2021-01-12,0.008458606898784637,0.0
2021-01-19,0.04468515142798424,0.0
2021-01-26,-0.01300799660384655,0.0
2021-02-02,-0.004036985337734222,0.0
2021-02-09,0.005651222541928291,0.0
2021-02-16,-0.035028256475925446,0.0
2021-02-23,-0.009282268583774567,0.0
2021-03-03,-0.00873628631234169,1.0
2021-03-08,0.024028822779655457,1.0
2021-03-15,0.04848283529281616,1.0
2021-03-22,0.01776798814535141,1.0
2021-03-29,0.047071732580661774,1.0
2021-04-06,-0.03520561009645462,1.0
2021-04-13,0.08858382701873779,0.0
2021-04-20,-0.06199108436703682,0.0
2021-04-27,-0.048969488590955734,0.0
2021-05-04,0.05706217885017395,1.0
2021-05-11,-0.11158890277147293,1.0
2021-05-18,-0.06351221352815628,1.0
2021-05-25,-0.023126065731048584,1.0
2021-06-01,0.037034645676612854,1.0
2021-06-08,0.03484092652797699,0.0
2021-06-15,0.07838419079780579,1.0
2021-06-22,0.015829969197511673,0.0
2021-06-29,0.04591791331768036,0.0
2021-07-06,-0.02804446965456009,0.0
2021-07-13,0.020178720355033875,0.0
2021-07-20,0.00888282060623169,0.0
2021-07-27,0.023642614483833313,0.0
2021-08-03,0.005747444927692413,0.0
2021-08-10,0.007224338129162788,0.0
2021-08-18,-0.026267647743225098,0.0
2021-08-24,0.0755074992775917,0.0
2021-08-31,0.09295240044593811,0.0
2021-09-07,0.02970775216817856,0.0
2021-09-14,0.0029545575380325317,0.0
2021-09-24,0.015884418040513992,0.0
2021-09-28,-0.007638014853000641,0.0
2021-10-06,-0.0740353986620903,1.0
2021-10-13,-0.07880081236362457,1.0
2021-10-19,0.001400921493768692,0.0
2021-10-26,0.06211298331618309,0.0
2021-11-02,0.016959298402071,0.0
2021-11-09,-0.05808169022202492,1.0
2021-11-16,0.04953208565711975,1.0
2021-11-23,0.08020932972431183,1.0
2021-11-30,-0.035798657685518265,1.0
2021-12-07,0.0512714684009552,0.0
2021-12-14,0.022699160501360893,0.0
2021-12-21,0.09766604006290436,0.0
2021-12-28,0.057898715138435364,0.0
