date,K200
1997-09-02,-0.0783257355988396
1997-09-03,-0.07062264939406615
1997-09-04,-0.04897159647404503
1997-09-05,-0.06992337164750961
1997-09-06,-0.07618656818492675
1997-09-08,-0.12622161046111502
1997-09-09,-0.11792584332311118
1997-09-10,-0.12126684261703014
1997-09-11,-0.11249137336093862
1997-09-12,-0.1192987262018903
1997-09-13,-0.1289747807017544
1997-09-18,-0.17256939696431006
1997-09-19,-0.15630228667038482
1997-09-20,-0.16744647667659152
1997-09-22,-0.08917748917748913
1997-09-23,-0.0618160307601302
1997-09-24,-0.12029520295202945
1997-09-25,-0.14576474109548032
1997-09-26,-0.1354135110572553
1997-09-27,-0.1549984714154693
1997-09-29,-0.1907373552711762
1997-09-30,-0.24988981930365795
1997-10-01,-0.22001776724903765
1997-10-02,-0.21043165467625902
1997-10-04,-0.15330292776224808
1997-10-06,-0.14065738821439155
1997-10-07,-0.18226076373041233
1997-10-08,-0.18730308758664138
1997-10-09,-0.1847345132743362
1997-10-10,-0.13689535251343654
1997-10-11,-0.15832037325038884
1997-10-13,-0.1559402045633359
1997-10-14,-0.16951257373486495
1997-10-15,-0.14714331311841689
1997-10-16,-0.10590597289610182
1997-10-17,-0.15341378740287648
1997-10-18,-0.15683358122624347
1997-10-20,-0.13351498637602177
1997-10-21,-0.09553601623266827
1997-10-22,-0.18076679340937896
1997-10-23,-0.18489911727616637
1997-10-24,-0.19765100671140945
1997-10-25,-0.17711983181499646
1997-10-27,-0.16244573082489155
1997-10-28,-0.1477603257707969
1997-10-29,-0.1788403614457832
1997-10-30,-0.14571092831962407
1997-10-31,-0.12286346269857229
1997-11-01,-0.20121488230827644
1997-11-03,-0.23624953857511988
1997-11-04,-0.22762814943527354
1997-11-05,-0.18568994889267465
1997-11-06,-0.17022742935906277
1997-11-07,-0.10400000000000009
1997-11-08,-0.1087420042643924
1997-11-10,-0.17783882783882787
1997-11-11,-0.21784922394678496
1997-11-12,-0.26600709352249396
1997-11-13,-0.24198359433258765
1997-11-14,-0.2400000000000001
1997-11-15,-0.1800149700598802
1997-11-17,-0.07166569029486436
1997-11-18,-0.06820854566836543
1997-11-19,-0.1428297177961222
1997-11-20,-0.11713836477987427
1997-11-21,-0.16021686296504023
1997-11-22,-0.14291239605492168
1997-11-24,-0.1827687160184024
1997-11-25,-0.1679795614221844
1997-11-26,-0.11068702290076338
1997-11-27,-0.08552915766738645
1997-11-28,-0.03663253697383384
1997-11-29,-0.02934433745988063
1997-12-01,0.0061787072243346675
1997-12-02,0.046724351050679847
1997-12-03,0.053407443209279926
1997-12-04,-0.01934758155230598
1997-12-05,-0.06338912133891206
1997-12-06,-0.0496262458471759
1997-12-08,0.03284036537625057
1997-12-09,0.07792509886020005
1997-12-10,0.1013588772555134
1997-12-11,0.1679659815733523
1997-12-12,0.30239064089521883
1997-12-13,0.2712739793408756
1997-12-15,0.2923322683706071
1997-12-16,0.19516971279373374
1997-12-17,0.18132099284812786
1997-12-19,0.34826427771556556
1997-12-20,0.36019590382902944
1997-12-22,0.23939530685920585
1997-12-23,0.35932534832559293
1997-12-24,0.4961617195496417
1997-12-26,0.4263233190271818
1997-12-27,0.41284837033538024
1998-01-03,0.4381738930947463
1998-01-05,0.3339289702926065
1998-01-06,0.33690190080838955
1998-01-07,0.34426229508196715
1998-01-08,0.2950094756790902
1998-01-09,0.3560638757013379
1998-01-10,0.23847087378640786
1998-01-12,0.14001171646162858
1998-01-13,0.11549622751015676
1998-01-14,0.03924528301886787
1998-01-15,-0.027370651598092932
1998-01-16,-0.00455124704168941
1998-01-17,-0.03294159544159536
1998-01-19,-0.01843853820598007
1998-01-20,-0.009983633387888657
1998-01-21,0.06778779472954244
1998-01-22,0.12124522119060632
1998-01-23,0.1350476532997662
1998-01-24,0.07388404309902508
1998-01-26,0.01905717151454356
1998-01-30,0.020316377171215816
1998-01-31,0.0051948051948051965
1998-02-02,0.08997594226142724
1998-02-03,0.0764077205295901
1998-02-04,0.08853410740203205
1998-02-05,0.04789015405224384
1998-02-06,-0.0021245301519855486
1998-02-07,0.0011382113821138962
1998-02-09,-0.059357097390197344
1998-02-10,0.00489955903968653
1998-02-11,0.05347774581147391
1998-02-12,0.07177115450496752
1998-02-13,0.08602150537634401
1998-02-14,0.12490922294843876
1998-02-16,0.12289685442574982
1998-02-17,0.09869269011231818
1998-02-18,0.06530249110320274
1998-02-19,0.018277204264681046
1998-02-20,0.002149115556290271
1998-02-21,-0.02467933106023712
1998-02-23,-0.06955006337135616
1998-02-24,-0.07118967988533209
1998-02-25,-0.020718462823726025
1998-02-26,-0.05905511811023623
1998-02-27,-0.10021820448877805
1998-02-28,-0.13619091047271636
1998-03-02,-0.23999411418481453
1998-03-03,-0.2634854771784232
1998-03-04,-0.2485925925925926
1998-03-05,-0.18951741770533714
1998-03-06,-0.18391745823779893
1998-03-07,-0.1440636673704726
1998-03-09,-0.08847910675012682
1998-03-10,-0.1267674305216968
1998-03-11,-0.08738955823293171
1998-03-12,-0.09205689627617064
1998-03-13,-0.08192270839987215
1998-03-14,-0.12927695287282115
1998-03-16,-0.14869706840390873
1998-03-17,-0.13021618903971854
1998-03-18,-0.15015867713378983
1998-03-19,-0.15439587834469004
1998-03-20,-0.1684262619597493
1998-03-21,-0.15265523555851512
1998-03-23,-0.175549123105738
1998-03-24,-0.1733539094650206
1998-03-25,-0.1811977478246033
1998-03-26,-0.16335425383542534
1998-03-27,-0.17668456608349203
1998-03-28,-0.1720922048213972
1998-03-30,-0.10912698412698407
1998-03-31,-0.10654848046309695
